region,trips,time
region_1530,25.0,2016-06-01 00:00:00
region_1435,15.0,2016-06-01 00:00:00
region_1327,0.0,2016-06-01 00:00:00
region_2168,82.0,2016-06-01 00:00:00
region_2119,7.0,2016-06-01 00:00:00
region_2118,174.0,2016-06-01 00:00:00
region_2069,21.0,2016-06-01 00:00:00
region_2068,78.0,2016-06-01 00:00:00
region_1783,11.0,2016-06-01 00:00:00
region_1734,4.0,2016-06-01 00:00:00
region_1733,7.0,2016-06-01 00:00:00
region_1684,11.0,2016-06-01 00:00:00
region_1630,10.0,2016-06-01 00:00:00
region_1580,18.0,2016-06-01 00:00:00
region_1533,7.0,2016-06-01 00:00:00
region_1532,7.0,2016-06-01 00:00:00
region_1483,25.0,2016-06-01 00:00:00
region_1482,20.0,2016-06-01 00:00:00
region_1480,19.0,2016-06-01 00:00:00
region_1442,8.0,2016-06-01 00:00:00
region_1441,3.0,2016-06-01 00:00:00
region_1439,7.0,2016-06-01 00:00:00
region_1438,15.0,2016-06-01 00:00:00
region_1437,56.0,2016-06-01 00:00:00
region_1436,41.0,2016-06-01 00:00:00
region_1434,12.0,2016-06-01 00:00:00
region_1326,1.0,2016-06-01 00:00:00
region_1173,32.0,2016-06-01 00:00:00
region_1286,154.0,2016-06-01 00:00:00
region_1183,68.0,2016-06-01 00:00:00
region_1182,619.0,2016-06-01 00:00:00
region_1181,1040.0,2016-06-01 00:00:00
region_1180,321.0,2016-06-01 00:00:00
region_1179,270.0,2016-06-01 00:00:00
region_1178,158.0,2016-06-01 00:00:00
region_1177,58.0,2016-06-01 00:00:00
region_1176,3.0,2016-06-01 00:00:00
region_1175,17.0,2016-06-01 00:00:00
region_1172,9.0,2016-06-01 00:00:00
region_1184,42.0,2016-06-01 00:00:00
region_1132,12.0,2016-06-01 00:00:00
region_1130,127.0,2016-06-01 00:00:00
region_1129,231.0,2016-06-01 00:00:00
region_1128,121.0,2016-06-01 00:00:00
region_1127,126.0,2016-06-01 00:00:00
region_1126,108.0,2016-06-01 00:00:00
region_1125,41.0,2016-06-01 00:00:00
region_1077,78.0,2016-06-01 00:00:00
region_1076,54.0,2016-06-01 00:00:00
region_1075,23.0,2016-06-01 00:00:00
region_1287,68.0,2016-06-01 00:00:00
region_1131,54.0,2016-06-01 00:00:00
region_1221,1.0,2016-06-01 00:00:00
region_1174,41.0,2016-06-01 00:00:00
region_1223,11.0,2016-06-01 00:00:00
region_1285,188.0,2016-06-01 00:00:00
region_1222,6.0,2016-06-01 00:00:00
region_1283,75.0,2016-06-01 00:00:00
region_1282,338.0,2016-06-01 00:00:00
region_1281,421.0,2016-06-01 00:00:00
region_1280,142.0,2016-06-01 00:00:00
region_1279,33.0,2016-06-01 00:00:00
region_1278,22.0,2016-06-01 00:00:00
region_1274,3.0,2016-06-01 00:00:00
region_1273,4.0,2016-06-01 00:00:00
region_1272,4.0,2016-06-01 00:00:00
region_1235,92.0,2016-06-01 00:00:00
region_1284,40.0,2016-06-01 00:00:00
region_1224,17.0,2016-06-01 00:00:00
region_1233,261.0,2016-06-01 00:00:00
region_1232,210.0,2016-06-01 00:00:00
region_1231,328.0,2016-06-01 00:00:00
region_1230,392.0,2016-06-01 00:00:00
region_1229,348.0,2016-06-01 00:00:00
region_1228,175.0,2016-06-01 00:00:00
region_1227,52.0,2016-06-01 00:00:00
region_1225,4.0,2016-06-01 00:00:00
region_1234,208.0,2016-06-01 00:00:00
region_1383,559.0,2016-06-01 01:00:00
region_1384,804.0,2016-06-01 01:00:00
region_1385,466.0,2016-06-01 01:00:00
region_1386,73.0,2016-06-01 01:00:00
region_1331,99.0,2016-06-01 01:00:00
region_1388,25.0,2016-06-01 01:00:00
region_1389,26.0,2016-06-01 01:00:00
region_1382,13.0,2016-06-01 01:00:00
region_1390,38.0,2016-06-01 01:00:00
region_1387,74.0,2016-06-01 01:00:00
region_1380,4.0,2016-06-01 01:00:00
region_1337,144.0,2016-06-01 01:00:00
region_1377,0.0,2016-06-01 01:00:00
region_1376,2.0,2016-06-01 01:00:00
region_1339,11.0,2016-06-01 01:00:00
region_1338,50.0,2016-06-01 01:00:00
region_1336,121.0,2016-06-01 01:00:00
region_1335,182.0,2016-06-01 01:00:00
region_1334,695.0,2016-06-01 01:00:00
region_1333,917.0,2016-06-01 01:00:00
region_1332,575.0,2016-06-01 01:00:00
region_1426,0.0,2016-06-01 01:00:00
region_1378,1.0,2016-06-01 01:00:00
region_1431,18.0,2016-06-01 01:00:00
region_2168,63.0,2016-06-01 01:00:00
region_1435,12.0,2016-06-01 01:00:00
region_1327,1.0,2016-06-01 01:00:00
region_2119,15.0,2016-06-01 01:00:00
region_2118,119.0,2016-06-01 01:00:00
